Latitude,Longitude,Stop Name,Stop Status
40.692949,-74.000492,BROOKLYN BRIDGE PK RD/JORALEMON ST,at stop
40.651047,-74.004108,5 AV/39 ST,at stop
40.672581,-73.983469,5 AV/3 ST,at stop
40.652769,-74.002315,5 AV/36 ST,at stop
40.623816,-74.02496,5 AV/83 ST,at stop
40.686161,-73.982898,ATLANTIC AV/NEVINS ST,at stop
40.672749,-73.983327,5 AV/3 ST,approaching
40.629859,-74.022488,5 AV/BAY RIDGE PY,approaching
40.689876,-73.993057,ATLANTIC AV/COURT ST,approaching
40.643454,-74.012015,5 AV/52 ST,approaching
40.635349,-74.020249,5 AV/66 ST,approaching
40.640305,-74.01529,5 AV/60 ST,< 1 stop away
40.679697,-73.978233,5 AV/DOUGLASS ST,< 1 stop away
40.693017,-74.000728,ATLANTIC AV/HICKS ST,< 1 stop away
